Cherenkov Firing Summary

====================================


===== e⁺ (mass = 0.000511 GeV) =====

E=  5.00 GeV | β=1.00000 | γ=9784.736 | p=5.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 10.00 GeV | β=1.00000 | γ=19569.472 | p=10.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 20.00 GeV | β=1.00000 | γ=39138.943 | p=20.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 30.00 GeV | β=1.00000 | γ=58708.415 | p=30.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 40.00 GeV | β=1.00000 | γ=78277.886 | p=40.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 60.00 GeV | β=1.00000 | γ=117416.830 | p=60.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 80.00 GeV | β=1.00000 | γ=156555.773 | p=80.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=100.00 GeV | β=1.00000 | γ=195694.716 | p=100.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=1.00000 | γ=234833.659 | p=120.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=1.00000 | γ=313111.546 | p=160.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== π⁺ (mass = 0.139570 GeV) =====

E=  5.00 GeV | β=0.99961 | γ=35.824 | p=4.998 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99990 | γ=71.648 | p=9.999 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99998 | γ=143.297 | p=20.000 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E= 30.00 GeV | β=0.99999 | γ=214.945 | p=30.000 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E= 40.00 GeV | β=0.99999 | γ=286.594 | p=40.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 60.00 GeV | β=1.00000 | γ=429.891 | p=60.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 80.00 GeV | β=1.00000 | γ=573.187 | p=80.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=100.00 GeV | β=1.00000 | γ=716.484 | p=100.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=1.00000 | γ=859.781 | p=120.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=1.00000 | γ=1146.375 | p=160.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== π⁻ (mass = 0.139570 GeV) =====

E=  5.00 GeV | β=0.99961 | γ=35.824 | p=4.998 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99990 | γ=71.648 | p=9.999 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99998 | γ=143.297 | p=20.000 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E= 30.00 GeV | β=0.99999 | γ=214.945 | p=30.000 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E= 40.00 GeV | β=0.99999 | γ=286.594 | p=40.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 60.00 GeV | β=1.00000 | γ=429.891 | p=60.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 80.00 GeV | β=1.00000 | γ=573.187 | p=80.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=100.00 GeV | β=1.00000 | γ=716.484 | p=100.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=1.00000 | γ=859.781 | p=120.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=1.00000 | γ=1146.375 | p=160.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== K⁺ (mass = 0.493677 GeV) =====

E=  5.00 GeV | β=0.99511 | γ=10.128 | p=4.976 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99878 | γ=20.256 | p=9.988 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99970 | γ=40.512 | p=19.994 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 30.00 GeV | β=0.99986 | γ=60.768 | p=29.996 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 40.00 GeV | β=0.99992 | γ=81.025 | p=39.997 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 60.00 GeV | β=0.99997 | γ=121.537 | p=59.998 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E= 80.00 GeV | β=0.99998 | γ=162.049 | p=79.998 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E=100.00 GeV | β=0.99999 | γ=202.562 | p=99.999 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=0.99999 | γ=243.074 | p=119.999 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=1.00000 | γ=324.099 | p=159.999 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== K⁻ (mass = 0.493677 GeV) =====

