Cherenkov Firing Summary

====================================


===== e⁺ (mass = 0.000511 GeV) =====

E=  5.00 GeV | β=1.00000 | γ=9784.736 | p=5.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 10.00 GeV | β=1.00000 | γ=19569.472 | p=10.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 20.00 GeV | β=1.00000 | γ=39138.943 | p=20.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 30.00 GeV | β=1.00000 | γ=58708.415 | p=30.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 40.00 GeV | β=1.00000 | γ=78277.886 | p=40.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 60.00 GeV | β=1.00000 | γ=117416.830 | p=60.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 80.00 GeV | β=1.00000 | γ=156555.773 | p=80.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=100.00 GeV | β=1.00000 | γ=195694.716 | p=100.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=1.00000 | γ=234833.659 | p=120.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=1.00000 | γ=313111.546 | p=160.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== μ⁺ (mass = 0.105658 GeV) =====

E=  5.00 GeV | β=0.99978 | γ=47.322 | p=4.999 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99994 | γ=94.645 | p=9.999 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99999 | γ=189.290 | p=20.000 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E= 30.00 GeV | β=0.99999 | γ=283.935 | p=30.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 40.00 GeV | β=1.00000 | γ=378.580 | p=40.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 60.00 GeV | β=1.00000 | γ=567.870 | p=60.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 80.00 GeV | β=1.00000 | γ=757.160 | p=80.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=100.00 GeV | β=1.00000 | γ=946.450 | p=100.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=1.00000 | γ=1135.740 | p=120.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=1.00000 | γ=1514.320 | p=160.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== π⁺ (mass = 0.139570 GeV) =====

E=  5.00 GeV | β=0.99961 | γ=35.824 | p=4.998 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99990 | γ=71.648 | p=9.999 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99998 | γ=143.297 | p=20.000 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E= 30.00 GeV | β=0.99999 | γ=214.945 | p=30.000 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E= 40.00 GeV | β=0.99999 | γ=286.594 | p=40.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 60.00 GeV | β=1.00000 | γ=429.891 | p=60.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 80.00 GeV | β=1.00000 | γ=573.187 | p=80.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=100.00 GeV | β=1.00000 | γ=716.484 | p=100.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=1.00000 | γ=859.781 | p=120.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=1.00000 | γ=1146.375 | p=160.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== π⁻ (mass = 0.139570 GeV) =====

E=  5.00 GeV | β=0.99961 | γ=35.824 | p=4.998 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99990 | γ=71.648 | p=9.999 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99998 | γ=143.297 | p=20.000 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E= 30.00 GeV | β=0.99999 | γ=214.945 | p=30.000 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E= 40.00 GeV | β=0.99999 | γ=286.594 | p=40.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 60.00 GeV | β=1.00000 | γ=429.891 | p=60.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E= 80.00 GeV | β=1.00000 | γ=573.187 | p=80.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=100.00 GeV | β=1.00000 | γ=716.484 | p=100.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=1.00000 | γ=859.781 | p=120.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=1.00000 | γ=1146.375 | p=160.000 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== K⁺ (mass = 0.493677 GeV) =====

